"English","French"
"Tom has two legs.","Tom a deux {{c::jambes}}."
"She {{c::taught}} me how to drive.","Elle m'enseigna la conduite."
"Why didn't you wait for me?","Pourquoi ne {{c::m'avez-vous}} pas attendu ?"
"He is afraid of {{c::becoming}} sick.","Il a peur de devenir malade."
"You are drinking fresh water.","Tu bois de l'eau {{c::fraîche}}."
"I know how to use this.","Je sais comment {{c::utiliser}} ça."
"Why do you have to do it?","Pourquoi {{c::dois-tu}} le faire ?"
"She {{c::aimed}} at the target.","Elle visa la cible."
"Why do you have to do it?","Pourquoi {{c::devez-vous}} le faire ?"
"I don't have that many years left.","Je ne dispose pas de tant {{c::d'années}} de reste."
"We're not welcome.","Nous ne sommes pas les {{c::bienvenus}}."
"I do not like your arrogant {{c::tone}}!","Je n'aime pas ton ton arrogant !"
"I may swim in the river.","Je peux nager dans la {{c::rivière}}."
"I don't want to be lonely.","Je ne veux pas me {{c::sentir}} seul."
"I didn't get your name.","Je n'ai pas {{c::retenu}} ton nom."
"My homework {{c::remains}} to be done.","Mon devoir est à faire."
"The minister doesn't want to resign.","Le {{c::ministre}} ne veut pas démissionner."
"It's because i didn't hear.","C'est {{c::parce}} que je n'ai pas entendu."
"I'm not {{c::equal}} to doing the task.","Je ne suis pas à la hauteur de la tâche."
"{{c::ah}}, this is the life!","Ah, c'est la vie !"
"{{c::ah}}, that's life!","Ah, c'est la vie !"
"Thanks for the {{c::meal}}.","Merci pour le repas."
"Thanks for the meal.","Merci pour le {{c::repas}}."
"Don't make any loud {{c::noises}}.","Ne faites pas le moindre bruit."
"I wish you a {{c::merry}} christmas.","Je vous souhaite un joyeux noël."
"I wish you a {{c::merry}} christmas.","Je vous souhaite un joyeux noël."
"I am acquainted with the custom.","J'ai connaissance de cette {{c::coutume}}."
"This is a bus stop.","Ceci est un {{c::arrêt}} de bus."
"I want to examine the body of the victim.","Je veux examiner le corps de la {{c::victime}}."
"He is the {{c::tallest}} person in the class.","Il est le plus grand de la classe."
"He's the {{c::tallest}} one in the class.","Il est le plus grand de la classe."
"The painting won't be sold.","Le tableau ne sera pas {{c::vendu}}."
"He is familiar with japanese culture.","Il est familier de la {{c::culture}} japonaise."
"I trust tom's judgment.","Je fais confiance au {{c::jugement}} de tom."
"I fell to the {{c::ground}}.","Je suis tombé par terre."
"Tom has my keys.","Tom a mes {{c::clefs}}."
"That's why i'm here.","C'est la raison de ma {{c::présence}}."
"The {{c::length}} of this ship is 30 meters.","La longueur de ce navire est de 30 mètres."
"He went to london in 1970.","Il {{c::alla}} à londres en 1970."
"It's hobson's choice.","Il {{c::n’a}} pas vraiment le choix."
"Well done, tom.","Bien {{c::joué}}, tom."
"I don't have time to do the {{c::laundry}}.","Je n'ai pas le temps de faire la lessive."
"I went to your school.","Je suis allé à votre {{c::école}}."
"We wanted to get out of there.","Nous {{c::voulions}} sortir de là."
"Are you going to tom's {{c::farewell}} party?","Vas-tu à la fête d'adieux de tom ?"
"That's the {{c::spirit}}.","C'est la bonne attitude."
"I know how to handle this.","Je sais comment {{c::régler}} ça."
"I know how to settle this.","Je sais comment {{c::régler}} ça."
"A light {{c::bulb}} gives light.","Une ampoule donne de la lumière."
"She's {{c::dependent}} on her husband.","Elle dépend de son mari."
"She has an {{c::acid}} tongue.","Elle a une langue de vipère."
"That's the main gate.","C'est la porte {{c::principale}}."
"I don't like the taste of tomatoes.","Je n'aime pas le goût des {{c::tomates}}."
"I still have a lot of bananas.","J'ai toujours beaucoup de {{c::bananes}}."
"I don't like the taste of {{c::onions}}.","Je n'aime pas le goût des oignons."
"I don't like the taste of onions.","Je n'aime pas le goût des {{c::oignons}}."
"He got wind of the matter.","Il a eu vent de {{c::l'affaire}}."
"She is very hardworking.","Elle est dure à la {{c::tâche}}."
"I'm not who you think i am.","Je ne suis pas {{c::celle}} que tu penses."
"He is close to {{c::sixty}}.","Il a près de soixante ans."
"He is close to sixty.","Il a près de {{c::soixante}} ans."
"Are you going to tom's {{c::farewell}} party?","Allez-vous à la fête d'adieux de tom ?"
"{{c::marie}} is not ready.","Marie n'est pas prête."
"I was worried about his {{c::health}}.","Je m'inquiétais pour sa santé."
"He jumped on the train.","Il {{c::sauta}} dans le train."
"One of us has to go.","{{c::l'un}} de nous doit partir."
"Stop {{c::pretending}} to not understand.","Arrête de faire semblant de ne pas comprendre."
"{{c::delight}} is the opposite of sorrow.","Le plaisir est le contraire de la tristesse."
"He took a book from the bookshelf.","Il prit un livre de {{c::l'étagère}}."
"Thank you for the {{c::necklace}}.","Merci pour le collier."
"Thank you for the necklace.","Merci pour le {{c::collier}}."
"Thank you for the donation.","Merci pour le {{c::don}}."
"I am in favor of your {{c::proposal}}.","Je suis en faveur de votre proposition."
"I want to get to know you.","Je veux faire ta {{c::connaissance}}."
"Thanks for the {{c::compliment}}.","Merci pour le compliment !"
"Did you have fun?","Vous êtes-vous {{c::amusés}} ?"
"I want you to go to boston.","Je veux que tu {{c::ailles}} à boston."
"I don't want to raise false {{c::hopes}}.","Je ne veux pas générer de faux espoirs."
"I want you all to myself.","Je vous veux {{c::tous}} pour moi."
"Thanks for the {{c::cookie}}.","Merci pour le cookie."
"Sami is the {{c::burglar}}.","C'est sami la cambrioleuse."
"He has a fair {{c::income}}.","Il a un bon revenu."
"Stop {{c::pretending}} to not understand.","Arrêtez de faire semblant de ne pas comprendre."
"Did you have fun?","Vous êtes-vous {{c::amusées}} ?"
"Is tom ok?","Tom {{c::va-t-il}} bien ?"
"Is tom well?","Tom {{c::va-t-il}} bien ?"
"I am on {{c::board}}.","J'en suis."
"What do you know about tom's family?","Que sais-tu {{c::concernant}} la famille de tom ?"
"It is {{c::easier}} than i thought.","C'est plus facile que je le croyais."
"{{c::mice}} are drinking the water.","Les souris boivent de l'eau."
"Mice are drinking the water.","Les souris {{c::boivent}} de l'eau."
"A light {{c::bulb}} gives light.","Une ampoule fournit de la lumière."
"I don't need a {{c::lecture}}.","Je n'ai pas besoin d'une leçon."
"I don't need a lecture.","Je n'ai pas besoin d'une {{c::leçon}}."
"Tom {{c::dances}} well.","Tom danse bien."
"I'm going to do it first thing tomorrow.","Je vais le faire {{c::dès}} demain."
"I don't think that i've broken any {{c::laws}}.","Je ne pense pas avoir enfreint de lois."
"I {{c::sincerely}} feel sorry for you.","Je suis sincèrement désolé pour vous."
"I don't need other people.","Je n'ai pas besoin {{c::d'autres}} gens."
"He got out of the {{c::habit}} of smoking.","Il a perdu l'habitude de fumer."
